Rank,Concept ID,Concept Name,Industry,Problem Area,Target User,Commercialization Readiness Score,Confidence Score (%),Recommended Outcome,Investment Priority,AI Investment Advice,AI Reason,AI Strengths,AI Weaknesses,Business Risk,Evidence,AI Expected Potential,AI Next Action
349,CPT-1409,Fraud Detection Assistant 21,EdTech,Fraud Detection,Compliance Officer,25.92,99.20%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.30, demand intensity of 0.28, and feasibility score of 0.43 combine to support a 'Archive' recommendation with 99% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 3.7/10, Pilot Interest 5/10, Implementation Risk 7/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
350,CPT-1365,Personalization Assistant 74,EdTech,Personalization,Small Business Owner,25.62,99.90%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.38, demand intensity of 0.23, and feasibility score of 0.48 combine to support a 'Archive' recommendation with 100% model confidence.","• A decision-maker was present during the demo, reducing sales-cycle risk.","• Several sandbox features were abandoned mid-trial, suggesting usability gaps.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 5.6/10, Pilot Interest 4/10, Implementation Risk 6/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
351,CPT-1333,Forecasting Assistant 42,Cybersecurity,Workflow Automation,Data Analyst,25.61,99.90%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.23, demand intensity of 0.51, and feasibility score of 0.39 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 2.7/10, Pilot Interest 2/10, Implementation Risk 8/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
352,CPT-1215,Fraud Detection Assistant 21,Logistics,Compliance Monitoring,Frontline Agent,25.51,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.23, demand intensity of 0.27, and feasibility score of 0.58 combine to support a 'Archive' recommendation with 100% model confidence.","• A decision-maker was present during the demo, reducing sales-cycle risk.","• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 4.4/10, Pilot Interest 4/10, Implementation Risk 6/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
353,CPT-1387,Predictive Analytics Assistant 96,Manufacturing,Personalization,Product Manager,25.5,99.90%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.30, demand intensity of 0.22, and feasibility score of 0.68 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 3.5/10, Pilot Interest 3/10, Implementation Risk 6/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
354,CPT-1336,Customer Support Assistant 45,Cybersecurity,Process Optimization,Data Analyst,25.47,97.80%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.34, demand intensity of 0.37, and feasibility score of 0.53 combine to support a 'Archive' recommendation with 98% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once.,"• Customers raised a high number of objections during demos. • Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 4.4/10, Pilot Interest 4/10, Implementation Risk 7/10, Objections 5",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
355,CPT-1129,Forecasting Assistant 32,Retail,Workflow Automation,IT Admin,25.38,99.50%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.31, demand intensity of 0.57, and feasibility score of 0.33 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,• Customers raised a high number of objections during demos. • Implementation risk is high — delivery effort may outweigh near-term value.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 5.1/10, Pilot Interest 4/10, Implementation Risk 7/10, Objections 5",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
356,CPT-1191,Predictive Analytics Assistant 94,HR Tech,Customer Support,Ops Manager,25.26,88.20%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.32, demand intensity of 0.38, and feasibility score of 0.23 combine to support a 'Archive' recommendation with 88% model confidence.",• Willingness-to-pay signal is strong.,• Implementation risk is high — delivery effort may outweigh near-term value. • Feedback score trails the portfolio average.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 4.5/10, Pilot Interest 5/10, Implementation Risk 7/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
357,CPT-1127,Fraud Detection Assistant 30,Consumer Apps,Personalization,Small Business Owner,25.23,96.80%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.30, demand intensity of 0.33, and feasibility score of 0.58 combine to support a 'Archive' recommendation with 97% model confidence.",• Concept is well aligned with strategic priorities.,• Feedback score trails the portfolio average. • Budget signal from customers is weak.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 4.5/10, Pilot Interest 4/10, Implementation Risk 6/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
358,CPT-1073,Knowledge Search Assistant 73,Retail,Process Optimization,IT Admin,25.0,99.60%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.31, demand intensity of 0.61, and feasibility score of 0.23 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 5.3/10, Pilot Interest 5/10, Implementation Risk 7/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
359,CPT-1032,Customer Support Assistant 32,Legal Tech,Process Optimization,Frontline Agent,24.97,97.40%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.48, demand intensity of 0.39, and feasibility score of 0.42 combine to support a 'Archive' recommendation with 97% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 5.6/10, Pilot Interest 6/10, Implementation Risk 5/10, Objections 0",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
360,CPT-1356,Customer Support Assistant 65,EdTech,Workflow Automation,Compliance Officer,24.81,97.60%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.31, demand intensity of 0.36, and feasibility score of 0.56 combine to support a 'Archive' recommendation with 98% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 5.6/10, Pilot Interest 6/10, Implementation Risk 2/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
361,CPT-1197,Forecasting Assistant 3,Consumer Apps,Document Intelligence,Product Manager,24.77,98.30%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.38, demand intensity of 0.38, and feasibility score of 0.38 combine to support a 'Archive' recommendation with 98% model confidence.",• No standout strength signals were observed in this evidence set.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average. • Budget signal from customers is weak.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 4.9/10, Pilot Interest 5/10, Implementation Risk 6/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
362,CPT-1433,Personalization Assistant 45,HR Tech,Personalization,Data Analyst,24.76,93.70%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.39, demand intensity of 0.40, and feasibility score of 0.29 combine to support a 'Archive' recommendation with 94% model confidence.",• Pilot interest is strong — customers are actively pulling for this. • Customers repeatedly returned to the sandbox rather than trying it once.,• Implementation risk is high — delivery effort may outweigh near-term value.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 5.8/10, Pilot Interest 7/10, Implementation Risk 8/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
363,CPT-1324,Forecasting Assistant 33,Logistics,Compliance Monitoring,Data Analyst,24.74,99.70%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.38, demand intensity of 0.30, and feasibility score of 0.23 combine to support a 'Archive' recommendation with 100% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 5.0/10, Pilot Interest 4/10, Implementation Risk 7/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
364,CPT-1014,Workflow Automation Assistant 14,Retail,Workflow Automation,Product Manager,24.73,99.60%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.34, demand intensity of 0.22, and feasibility score of 0.23 combine to support a 'Archive' recommendation with 100% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 4.4/10, Pilot Interest 3/10, Implementation Risk 7/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
365,CPT-1267,Customer Support Assistant 73,HR Tech,Document Intelligence,Frontline Agent,24.45,98.50%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.33, demand intensity of 0.19, and feasibility score of 0.71 combine to support a 'Archive' recommendation with 98% model confidence.",• Implementation risk is low relative to the portfolio.,• No major weakness signals were observed in this evidence set.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 5.9/10, Pilot Interest 3/10, Implementation Risk 3/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
366,CPT-1329,Customer Support Assistant 38,Logistics,Workflow Automation,IT Admin,24.44,99.50%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.27, demand intensity of 0.26, and feasibility score of 0.28 combine to support a 'Archive' recommendation with 100% model confidence.","• Willingness-to-pay signal is strong. • A decision-maker was present during the demo, reducing sales-cycle risk.",• Feedback score trails the portfolio average.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 2.9/10, Pilot Interest 3/10, Implementation Risk 6/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
367,CPT-1320,Document Intelligence Assistant 29,Healthcare,Compliance Monitoring,Product Manager,24.35,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.29, demand intensity of 0.50, and feasibility score of 0.72 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average. • Budget signal from customers is weak. • Customers do not treat this as an urgent problem to solve.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 3.3/10, Pilot Interest 4/10, Implementation Risk 5/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
368,CPT-1399,Process Optimization Assistant 11,Legal Tech,Knowledge Search,Executive Sponsor,24.35,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.13, demand intensity of 0.22, and feasibility score of 0.67 combine to support a 'Archive' recommendation with 100% model confidence.","• Implementation risk is low relative to the portfolio. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Customers raised a high number of objections during demos. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 2.9/10, Pilot Interest 3/10, Implementation Risk 4/10, Objections 5",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
369,CPT-1056,Document Intelligence Assistant 56,Healthcare,Customer Support,Small Business Owner,24.33,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.23, demand intensity of 0.57, and feasibility score of 0.13 combine to support a 'Archive' recommendation with 100% model confidence.","• A decision-maker was present during the demo, reducing sales-cycle risk.",• Implementation risk is high — delivery effort may outweigh near-term value. • Feedback score trails the portfolio average. • Budget signal from customers is weak.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 3.7/10, Pilot Interest 4/10, Implementation Risk 7/10, Objections 1",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
370,CPT-1345,Forecasting Assistant 54,Retail,Compliance Monitoring,Frontline Agent,24.22,96.10%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.36, demand intensity of 0.27, and feasibility score of 0.33 combine to support a 'Archive' recommendation with 96% model confidence.",• Willingness-to-pay signal is strong.,• Implementation risk is high — delivery effort may outweigh near-term value. • Feedback score trails the portfolio average.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 4.7/10, Pilot Interest 4/10, Implementation Risk 7/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
371,CPT-1361,Fraud Detection Assistant 70,Manufacturing,Personalization,Ops Manager,24.07,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.35, demand intensity of 0.49, and feasibility score of 0.40 combine to support a 'Archive' recommendation with 100% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average. • Budget signal from customers is weak.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 4.0/10, Pilot Interest 3/10, Implementation Risk 10/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
372,CPT-1179,Process Optimization Assistant 82,EdTech,Fraud Detection,Ops Manager,24.06,96.70%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.33, demand intensity of 0.38, and feasibility score of 0.33 combine to support a 'Archive' recommendation with 97% model confidence.",• No standout strength signals were observed in this evidence set.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 4.9/10, Pilot Interest 5/10, Implementation Risk 7/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
373,CPT-1448,Workflow Automation Assistant 60,Healthcare,Predictive Analytics,Product Manager,24.05,99.40%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.39, demand intensity of 0.27, and feasibility score of 0.19 combine to support a 'Archive' recommendation with 99% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 3.6/10, Pilot Interest 4/10, Implementation Risk 8/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
374,CPT-1435,Forecasting Assistant 47,HR Tech,Forecasting,IT Admin,24.03,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.38, demand intensity of 0.22, and feasibility score of 0.37 combine to support a 'Archive' recommendation with 100% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • Implementation risk is low relative to the portfolio. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average. • Budget signal from customers is weak.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 3.3/10, Pilot Interest 3/10, Implementation Risk 4/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
375,CPT-1163,Knowledge Search Assistant 66,Manufacturing,Knowledge Search,Product Manager,23.79,99.90%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.20, demand intensity of 0.57, and feasibility score of 0.20 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,"• Customers raised a high number of objections during demos. • Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 2.9/10, Pilot Interest 4/10, Implementation Risk 10/10, Objections 5",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
376,CPT-1328,Compliance Monitoring Assistant 37,Legal Tech,Compliance Monitoring,Frontline Agent,23.74,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.25, demand intensity of 0.26, and feasibility score of 0.38 combine to support a 'Archive' recommendation with 100% model confidence.","• Customers repeatedly returned to the sandbox rather than trying it once. • A decision-maker was present during the demo, reducing sales-cycle risk.","• Customers raised a high number of objections during demos. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average. • Budget signal from customers is weak.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 2.4/10, Pilot Interest 3/10, Implementation Risk 6/10, Objections 7",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
377,CPT-1256,Forecasting Assistant 62,Legal Tech,Customer Support,Executive Sponsor,23.7,99.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.33, demand intensity of 0.53, and feasibility score of 0.20 combine to support a 'Archive' recommendation with 99% model confidence.",• No standout strength signals were observed in this evidence set.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Budget signal from customers is weak.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 5.5/10, Pilot Interest 4/10, Implementation Risk 10/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
378,CPT-1195,Workflow Automation Assistant 1,Retail,Document Intelligence,Frontline Agent,23.34,95.60%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.59, demand intensity of 0.26, and feasibility score of 0.09 combine to support a 'Archive' recommendation with 96% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Budget signal from customers is weak. • Customers do not treat this as an urgent problem to solve.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 5.6/10, Pilot Interest 6/10, Implementation Risk 8/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
379,CPT-1085,Compliance Monitoring Assistant 85,Consumer Apps,Process Optimization,Executive Sponsor,23.24,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.19, demand intensity of 0.56, and feasibility score of 0.33 combine to support a 'Archive' recommendation with 100% model confidence.","• A decision-maker was present during the demo, reducing sales-cycle risk.","• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average. • Budget signal from customers is weak.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 2.9/10, Pilot Interest 3/10, Implementation Risk 7/10, Objections 1",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
380,CPT-1124,Document Intelligence Assistant 27,HR Tech,Customer Support,Executive Sponsor,23.2,96.30%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.35, demand intensity of 0.32, and feasibility score of 0.37 combine to support a 'Archive' recommendation with 96% model confidence.",• Implementation risk is low relative to the portfolio.,• Feedback score trails the portfolio average.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 4.8/10, Pilot Interest 6/10, Implementation Risk 4/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
381,CPT-1360,Workflow Automation Assistant 69,FinTech,Predictive Analytics,Compliance Officer,22.99,99.60%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.32, demand intensity of 0.20, and feasibility score of 0.49 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average. • Customers do not treat this as an urgent problem to solve.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 3.9/10, Pilot Interest 4/10, Implementation Risk 8/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
382,CPT-1447,Fraud Detection Assistant 59,Cybersecurity,Knowledge Search,Compliance Officer,22.97,98.70%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.15, demand intensity of 0.23, and feasibility score of 0.38 combine to support a 'Archive' recommendation with 99% model confidence.","• A decision-maker was present during the demo, reducing sales-cycle risk.",• Feedback score trails the portfolio average.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 3.4/10, Pilot Interest 4/10, Implementation Risk 6/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
383,CPT-1157,Forecasting Assistant 60,Legal Tech,Customer Support,Compliance Officer,22.95,100.00%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.25, demand intensity of 0.30, and feasibility score of 0.42 combine to support a 'Archive' recommendation with 100% model confidence.","• A decision-maker was present during the demo, reducing sales-cycle risk.","• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 3.4/10, Pilot Interest 4/10, Implementation Risk 5/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
384,CPT-1117,Workflow Automation Assistant 20,EdTech,Predictive Analytics,IT Admin,22.94,99.80%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.29, demand intensity of 0.56, and feasibility score of 0.28 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 2.7/10, Pilot Interest 3/10, Implementation Risk 6/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
385,CPT-1327,Customer Support Assistant 36,HR Tech,Fraud Detection,Compliance Officer,22.92,99.10%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.31, demand intensity of 0.31, and feasibility score of 0.37 combine to support a 'Archive' recommendation with 99% model confidence.",• Implementation risk is low relative to the portfolio.,• Feedback score trails the portfolio average.,Moderate — some friction exists but is manageable with focused scoping.,"Feedback 4.8/10, Pilot Interest 5/10, Implementation Risk 4/10, Objections 3",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
386,CPT-1175,Fraud Detection Assistant 78,Consumer Apps,Process Optimization,Data Analyst,22.91,99.80%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.37, demand intensity of 0.49, and feasibility score of 0.38 combine to support a 'Archive' recommendation with 100% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average. • Budget signal from customers is weak.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 3.8/10, Pilot Interest 3/10, Implementation Risk 6/10, Objections 4",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
387,CPT-1339,Forecasting Assistant 48,Logistics,Personalization,Ops Manager,22.83,99.70%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.39, demand intensity of 0.28, and feasibility score of 0.49 combine to support a 'Archive' recommendation with 100% model confidence.",• Customers repeatedly returned to the sandbox rather than trying it once.,"• Implementation risk is high — delivery effort may outweigh near-term value. • Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 4.6/10, Pilot Interest 5/10, Implementation Risk 8/10, Objections 1",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
388,CPT-1276,Document Intelligence Assistant 82,EdTech,Customer Support,Product Manager,22.74,99.90%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.28, demand intensity of 0.27, and feasibility score of 0.51 combine to support a 'Archive' recommendation with 100% model confidence.",• Implementation risk is low relative to the portfolio.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",Low — signals suggest a relatively smooth path to delivery and adoption.,"Feedback 3.7/10, Pilot Interest 4/10, Implementation Risk 3/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
389,CPT-1308,Workflow Automation Assistant 17,Legal Tech,Forecasting,Frontline Agent,22.44,96.80%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.45, demand intensity of 0.14, and feasibility score of 0.42 combine to support a 'Archive' recommendation with 97% model confidence.",• No standout strength signals were observed in this evidence set.,"• Several sandbox features were abandoned mid-trial, suggesting usability gaps. • Feedback score trails the portfolio average.",Moderate — some friction exists but is manageable with focused scoping.,"Feedback 3.1/10, Pilot Interest 2/10, Implementation Risk 5/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
390,CPT-1353,Document Intelligence Assistant 62,FinTech,Workflow Automation,Compliance Officer,22.43,99.80%,Archive,Not Recommended,Do not allocate further budget at this time.,"Engagement score of 0.33, demand intensity of 0.27, and feasibility score of 0.39 combine to support a 'Archive' recommendation with 100% model confidence.",• No standout strength signals were observed in this evidence set.,• Implementation risk is high — delivery effort may outweigh near-term value. • Feedback score trails the portfolio average.,High — significant delivery risk or unresolved customer objections could stall adoption.,"Feedback 4.5/10, Pilot Interest 4/10, Implementation Risk 8/10, Objections 2",Low — current evidence does not support further investment.,Archive with documented learnings; revisit only if market conditions materially change.
